,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
SRI YVS & SRI BRM POLYTECHNIC (Id: S-650),40,13,11,1,,,24,10,,,1,,,
"SRKM D.Ed. College, Adilabad (Id: S-16314)",12,2,4,,,,6,,,,,,,
S.R.M Ded College (Id: S-15910),1,,,,,,,,,,,,,
S R M INSTITUTE OF MEDICAL SCIENCES & TECHNOLOGY KARIMNAGAR (Id: S-3596),1,,,,,,,,,,,,,
"SRM INSTITUTE OF MEDICAL SCIENCES & TECHNOLOGY SCHOOL OF NURSING, RAMNAGAR, KARIMNAGAR (Id: S-13189)",1,,,,,,,,,,,,,
S.R.M. POLYTECHNIC COLLEGE KATTANKULATHUR (Id: S-2963),8,3,,1,,,5,1,,,,,,
"Sr Sai Teacher Training Institute, Sai vihar, Vontimitta (M) Kadapa (Id: S-13395)",5,3,1,,,,,,,,,,,
"S. R. S. GOVT. POLYTECHNIC COLLEGE FOR GIRLS, LUDHIANA (Id: S-2499)",21,26,6,7,,,5,,,,1,,13,13
SRUTHI SCHOOL OF NURSING GUNTUR (Id: S-3650),1,9,,,,,,,,,,,,
"S.R.V. NURSING COLLEGE, DAWAKI (Id: S-18173)",2,,1,,,,1,,,,,,1,
S.S.B. REGIONAL INSTT. SC. & TECH. (POLY) CHIRADA (Id: S-2366),43,22,,,,,,,,,1,,,
S S COLLEGE OF PHARMACY (Id: S-18924),7,,,,,,1,,,,,,,
"SS COLLEGE OF PHYSICAL EDUCATION, BIJAPUR (Id: S-12579)",7,,,,,,,,,,,,,
SSD Institute Of Nursing (Id: S-15822),,6,,,,,,,,,,,,5
S S G PARAMEDICAL COLLEGE (Id: S-15239),6,6,1,,,,1,2,,,,,,2
S S G POLYTECHNIC JEVARGI (Id: S-1410),25,6,,,,,22,6,,,,,,
S Sidharatha Paramedical Training Institue (Id: S-16940),3,5,,2,1,,,,,,1,1,,
S S Institute of Nursing and Paramedical (Id: S-15243),9,11,2,2,,,4,4,,,1,,,
S S INSTITUTE OF NURSING SCIENCES DAVANGERE (Id: S-4244),15,36,,,,,5,11,,,4,,,16
S.S.K. POLYTECHNIC COLLEGE (Id: S-16594),17,15,1,,,,14,14,,,,,4,2
S S Mahitha College of Education (D.El.Ed) (Id: S-15906),1,,,,,,,,,,,,,
"S S MEMORIAL EDUCATIONAL ACADEMY SAIFAI,ETAWAH (Id: S-15261)",3,6,,,,,2,2,,,,,,
SSM INSTITUTE OF TEXTILE TECHNOLOGY AND POLYTECHNIC COLLEGE KOMARAPALAYAM - AMANI (Id: S-3051),35,5,4,1,,,31,4,,,,,,
S.S.M. JR. COLLEGE OF EDUCATION KALYAN THANE (Id: S-14966),3,4,,1,,,,,,,,,,
S.S.M.PARA MEDICAL COLLEGE TARANAGAR (Id: S-18211),5,1,,,,,,,,,,,,
S.S.M POLYTECHNIC (Id: S-1149),23,14,,,,,,,,,23,13,,1
"S.S.P.M. Nursing College, Aashti (Id: S-17850)",1,4,,,,,,1,,,1,2,,
"SS POLYTECHNIC COLLEGE, JHAMAR KOTDA ROAD, UMARDA, UDAIPUR (Id: S-14532)",37,7,,,,,,,,,4,,1,
SSR Institute of Teacher Training (Id: S-14358),5,2,3,,,,2,2,,,,,,
SSR POLYTECHNIC COLLEGE (Id: S-3052),35,9,4,4,,,31,5,,,,,1,
S S SCHOOL OF NURSING PILIBHIT (Id: S-5465),,13,,,,,,4,,,,1,,7
"S S S D GOVERNMENT POLYTECHNIC, CHINAMERANGI (Id: S-14927)",12,2,1,,,,9,2,1,,,,,
S.S.S Institute of Nursing (Id: S-15796),3,28,,,,,2,2,,,,,2,27
"SSS  MOTHER TERESA NURSING SCHOOL (ANM), VISHNUPURI NANDED (Id: S-17134)",5,9,1,4,,,3,1,,,,,1,4
"SSSPMS College of Nursing Barshi, Dist-Solapur (Id: S-17053)",11,21,2,3,,,2,11,,,,3,,
"S.S.S.S.S.P.U GOVERNMENT POLYTECHNIC, SULT (Id: S-12184)",12,,6,,1,,2,,,,,,,
S.S.T.J. NURSING SCHOOL (Id: S-15976),0,8,,,,,,3,,,,,,
"SS TTI LACHYAN, BIJAPUR (Id: S-12299)",4,1,2,,,,1,,,,,,,
S.Sukhjinder Singh Elementry Teacher Training Institute (Id: S-18206),,7,,,,,,1,,,,,,6
"S. SUKHJINDER SINGH POLYTECHNIC & PHARMACY COLLEGE, GURDASPUR (Id: S-2500)",57,26,3,,,,1,1,,,,,36,13
"SSV D.Ed College,Ranga Reddy (Id: S-16315)",6,2,2,,,,2,,,,,,,
S. S. V. S. SANSTHA ADHYAPAK VIDYALAYA BEED VIDYANAR EAST BEED BEED (Id: S-9803),6,1,3,,1,,1,1,,,,,1,
S. T. ADHYAPIKA VIDYAMANDIR MALVAN SINDHUDURG (Id: S-9804),4,2,1,,1,,1,,,,,,1,
"St Agnes College of Education, Gundlapochampalli, Rangaredy District (Id: S-14699)",7,1,,,,,,,,,2,,,
ST.ALBERT'S TEACHER TRAINING INSTITUTE ERNAKULAM (Id: S-7135),,4,,,,,,3,,,,,,4
ST ALOYSIUS JR. COLLEGE OF EDUCATION PAPDY VASAI (Id: S-10115),1,8,,,,,,,,,,,1,6
STANFORD INSTITUTE OF ELEMENTARY TEACHER EDN. NALGONDA (Id: S-5670),10,1,1,1,,,8,,,,,,,
ST. ANGELAS TEACHER TRAINING INSTITUTE PONAMALAIPATTI (Id: S-8433),,1,,,,,,1,,,,,,1
St. Annes ANM training School (Id: S-15616),,7,,,,7,,,,,,,,7
ST ANNS COLLEGE OF ENGINEERING AND TECHNOLOGY (Id: S-16181),15,9,1,,,,5,5,,,,,,
ST ANN'S HOSPITAL SCHOOL OF NURSING KRISHNA (Id: S-3652),,9,,3,,,,0,,,,,,6
ST ANN' S SCHOOL OF NURSING DAKSHINA KANNADA (Id: S-4346),1,9,,,,,1,8,,,,,1,8
ST ANN'S SCHOOL OF NURSING VISAKHAPATNAM- (Id: S-3653),,1,,,,,,,,,,,,1
ST ANN' S SCHOOL OF NURSING WARANGAL (Id: S-3651),,16,,6,,,,4,,,,,,9
ST.ANN'S TEACHER TRAINING INSTITUTE ADAIKALAPURAM (Id: S-8455),,6,,,,,,6,,,,,,6
ST ANNS TEACHER TRAINING INSTITUTE DAKSHINA KANNADA (Id: S-6858),1,10,,,,,,8,,,,,,8
ST ANTONY'S SCHOOL OF NURSING KANYAKUMARI (Id: S-5348),,7,,,,,,7,,,,,,6
STAR AVIATION ACADEMY GURGAON (Id: S-8899),10,2,,,,,1,,,,,,1,
STATE COUNCIL OF EDUCATIONAL RESEARCH AND TRAINING (SCERT) (Id: S-5727),4,7,,,,,,,,,,,,1
STATE INSTITUTE OF COMMERCE EDUCATION CHENNAI (Id: S-3060),4,5,1,1,,,3,2,,,,,,
STATE INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY (Id: S-14945),12,4,1,,,,11,3,,,,,2,
"ST BENEDICTs SCHOOL OF NURSING FOR WOMEN, TIRUVANNAMALAI (Id: S-5358)",,7,,,,,,,,,,,,6
ST CATHERINE HOSPITAL KANPUR (Id: S-5495),7,12,,,,,1,1,,,1,,5,4
"ST. CHRISTOPHERS TEACHER TRAINING INSTITUTE VEPERY, CHENNAI (Id: S-13878)",,7,,,,,,6,,,,,,6
"STELLA MARYS TEACHER TRAINING INSTITUTE, SIVAGIRI, THIRUNELVELI (Id: S-13919)",2,2,,1,,,2,1,,,,,,
Stephens Institute of Paramedical (Id: S-17530),,16,,,,,,,,,,,,2
ST GEORGE HOSPITAL MUMBAI (Id: S-4826),2,3,,,,,2,2,,1,,,,1
ST GEORGE SCHOOL OF NURSING BANGALORE URBAN (Id: S-4348),2,11,,,,,,,,,,,1,5
ST. GEORGES TEACHER TRAINING INSTITUTE ERNAKULAM (Id: S-7133),1,3,,,,,,1,,,,,1,2
ST.GEORGE'S TEACHER TRAINING INSTITUTE KOLLAM (Id: S-7138),1,3,,,,,,,,,,,1,3
ST. GEORGE TEACHER TRAINING INSTITUTE WAYNAD (Id: S-7132),2,6,,,,,,1,,,,,2,5
"S THANGAPAZHAM POLYTECHNIC COLLEGE CHINTHAMANIPERIPUTHUR, TIRUNELVELI (Id: S-12755)",72,27,4,,1,,66,27,,,1,,2,1
ST IGNATIUS SCHOOL OF NURSING KANNADA (Id: S-4349),5,20,,,,,,,,,,,1,18
ST JAMES HOSPITAL THRISSUR (Id: S-4614),,9,,,,,,,,,,,,9
S T J Institute Of Technology Diploma II Shift (Id: S-15139),7,2,,,,,,,,,,,,
ST. JOHN DE BRITTO ADHYAPAK VIDYALAYA MANICKPUR THANE (Id: S-10120),3,3,,,1,,,,,,,,1,2
ST. JOHNS LADY JEEJEE BHOY TRUST GOREGAON (W) MUMBAI (Id: S-10116),3,3,1,2,,,1,,,,,,,
ST. JOHNS POLYTECHNIC HUBLI (Id: S-1455),6,10,2,1,,1,3,6,,,,,1,3
"ST JOHNS SCHOOL OF NURSING, WADDEPALLI, WARANGAL (Id: S-13171)",1,13,,6,,1,1,4,,,,,,1
ST JOHNS' S SCHOOL OF NURSING BANGALORE (Id: S-4351),4,10,1,,,,1,1,,,,,,5
ST.JOHNS TEACHER TRAINING INSTITUTE FOR WOMEN VEERAVANALLUR (Id: S-8462),,9,,,,,,8,,,,1,,3
ST.JOHNS TEACHER TRAINING INSTITUTE NAZARETH (Id: S-8463),,7,,,,,,7,,,,,,7
"St. Joseph College of D Ed for Women, Sambasivapet, Guntur -522001 (Id: S-13476)",,6,,,,,,5,,,,,,6
ST JOSEPH HOSPITAL ERNAKULAM (Id: S-4616),,13,,,,,,,,,,,,12
ST. JOSEPH INSTITUTE OF ELEMENTARY TCHR. EDN. ANANTAPUR (Id: S-5666),9,,1,,,,1,,,,,,1,
ST.JOSEPH POLYTECHNIC COLLEGE PICHANOOR (Id: S-3057),34,11,,,1,,33,11,,,,,8,1
ST.JOSEPH POLYTECHNIC COLLEGE TIRUMAYAM (Id: S-3058),36,22,5,4,,,29,17,,,,1,2,5
"ST JOSEPH SCHOOL OF NURSING UTTARAHALLI, BANGALORE (Id: S-4353)",1,7,,,,,,,,,,1,,1
ST. JOSEPH'S CONVENT TEACHER TRAINING INSTITUTE BELGAUM (Id: S-6862),,3,,,,,,,,,,,,2
ST. JOSEPH'S CONVENT TTI FOR WOMEN MANDYA (Id: S-6863),,3,,,,,,3,,,,,,3
ST JOSEPH'S HOSPITAL SCHOOL OF NURSING VISAKHAPATNAM- (Id: S-3654),,14,,1,,3,,,,,,,,11
ST JOSEPH'S HOSPITAL THRISSUR (Id: S-4618),,15,,,,,,,,,,,,15
St Josephs Institute of Management (Id: S-18645),13,5,,,,,,,,,,,9,2
ST JOSEPHS POLYTECHNIC COLLEGE KRISHNAGIRI (Id: S-3053),8,1,1,,,,,,,,1,,,
"ST.JOSEPHs  POLYTECHNIC COLLEGE PAPPU NAGAR, DINDIGUL (Id: S-12795)",26,7,0,,,,25,7,,,1,,22,7
St. Josephs School of Nursing (Id: S-17692),1,11,,1,,,,3,,,,1,,6
ST JOSEPH'S SCHOOL OF NURSING GUNTUR (Id: S-3655),,15,,8,,,,5,,,,,,5
"ST JOSEPHS SCHOOL OF NURSING, KRISHNAGIRI (Id: S-13322)",,2,,,,,,2,,,,,,
ST JOSEPH'S SCHOOL OF NURSING MAHARANIPETA VISAKHAPATNAM (Id: S-3656),1,11,,5,,,,2,,,,1,,3
ST JOSEPH'S SCHOOL OF NURSING NALGONDA (Id: S-3657),2,17,2,6,,2,,8,,,,,,
ST.JOSEPHS TEACHER TRAINING INSTITUTE FOR WOMEN SURAMANGALAM PAGALPATTY (Id: S-8466),,5,,,,,,5,,,,,,4
ST. JOSEPHS TEACHER TRAINING INSTITUTE SATANKULAM PANDARAPURAM (Id: S-8443),3,2,,,,,3,2,,,,,2,2
ST.JOSEPHS TEACHER TRAINING INSTITUTE THRISSUR (Id: S-7142),1,5,,,,,,,,,,,1,4
ST. JOSEPH TEACHER TRAINING INSTITUTE MUTHOLY KOTTAYAM (Id: S-7134),,5,,,,,,,,,,,,5
"ST JOSEPH TTI KARUKUTTY, ERNAKULAM (Id: S-12127)",,4,,,,,,,,,,,,4
ST JOSEPH VAZ INSTITUTE OF EDUCATION (Id: S-19393),1,4,,,,,,,,,,,1,3
S T J POLYTECHNIC HARAPANAHALLI (Id: S-1411),23,10,2,,2,,4,3,,,1,,,
ST JUDE'S HOSPITAL JHANSI (Id: S-5496),,17,,,,,,,,,,,,16
"ST JUDES POLYTECHNIC COLLEGE, ANNAI NAGAR, VILAVANCODE (Id: S-13962)",25,23,1,,,,24,23,,,,,16,15
ST. KABIR INSTITUTE OF PROFESSIONAL STUDIES (Id: S-892),7,9,,,,,,,,,,,3,
"St. Lawrence College of Elementary Teacher Education, Arempula, Khammam (Rural) -507003 (Id: S-13460)",7,1,1,,,,2,,,,,,,
ST LUKE'S HOSPITAL AHMEDNAGAR (Id: S-4827),1,17,,1,,,,,,,1,2,,14
ST LUKE' S SCHOOL OF NURSING TRG. VISAKHAPATNAM (Id: S-3658),1,,,,,,,,,,,,,
ST. MARIAM POLYTECHNIC COLLEGE MARANTHAI (Id: S-3056),28,20,,,,,25,19,,,,,1,4
St. Mark NTR Institute of Elementary Teacher Education (Id: S-14255),1,,,,,,,,,,,,,
ST MARK S TEACHER TRAINING INSTITUTE MADUKKARAI (Id: S-8427),,6,,,,,,6,,,,,,2
ST MARTHA'S HOSPITAL SCHOOL OF NURSING BANGALORE (Id: S-4354),,29,,,,,,,,,,,,24
ST MARTIN DE-PORRES HOSPITAL KANNUR (Id: S-4619),,5,,,,,,3,,,,,,2
"St. Mary D.Ed., Institution, Sarpavaram, Kakinada, East Godavari-533005. (Id: S-13338)",3,5,1,2,,,1,3,,,,,,2
ST MARY SCHOOL OF NURSING BANGALORE (Id: S-4355),4,14,,2,,,,1,,,,1,,
ST MARY SCHOOL OF NURSING CHITRADURGA (Id: S-4356),11,5,3,2,,,,,,,1,,3,2
St. Mary S Group of Institutions Hyderabad (Id: S-16546),38,13,3,1,6,,11,6,,,1,0,4,1
"ST MARYS HOSPITAL & INSTITUTE OF BIO-MEDICAL TECHNOLOGY, TIRUVANNAMALAI (Id: S-5352)",,6,,1,,,,5,,,,,,1
ST.MARYS INSTITUTE OF ELEMENTRY TEACHER EDUCATION NELLORE (Id: S-5669),2,6,,2,,,1,3,,,1,,,
ST.MARYS INTEGRATED CAMPUS HYDERABAD (2ND SHIFT POLYTECHNIC) (Id: S-16575),24,13,1,0,1,0,11,9,,,,,1,1
ST MARY S  PARAMEDICAL COLLEGE (Id: S-18818),7,5,1,,,,,,,,,,,
ST. MARY'S POLYTECHNIC COLLEGE (Id: S-1529),29,20,1,,,,8,7,,,,,15,10
ST MARYS SCHOOL OF NURSING COIMBATORE (Id: S-5353),,8,,2,,,,,,,,,,6
"ST MARYS SCHOOL OF NURSING, KOVVUR, WEST GODAVARI (Id: S-12983)",,18,,18,,,,,,,,,,
ST MARY'S SCHOOL OF NURSING & PARAMEDICAL INSTITUTE LUCKNOW (Id: S-5497),3,40,,2,,,,5,,,,,3,16
ST MARY'S SCHOOL OF NURSING TIRUNELVELI (Id: S-5354),1,10,,0,,,1,10,,,,2,,2
"St.Marys Teacher Training Institute, Anmadurai (Id: S-16120)",3,3,1,,,,2,3,,,,,,2
ST MARYS TEACHER TRAINING INSTITUTE CHENGALPATTU (Id: S-8429),,6,,,,,,6,,,,,,3
ST. MARYS TEACHER TRAINING INSTITUTE FOR WOMEN VICKRAMASINGAPURAM (Id: S-8445),2,,2,,,,,,,,,,,
ST.MARY S TEACHER TRAINING INSTITUTE KARAIKAL (Id: S-7477),2,,,,,,2,,,,,,,
ST.MICHAEL POLYTECHNIC COLLEGE KALAYARKOIL (Id: S-3059),26,22,7,4,,,19,17,,,,1,3,4
ST MICHAELS POLYTECHNIC COLLEGE VELLANUR (Id: S-3054),1,,,,,,1,,,,,,1,
ST.MICHAELS TEACHER TRAINING INSTITUTE PALANI (Id: S-8473),,4,,1,,,,3,,,,,,2
ST. MICHAEL TEACHER TRAINING INSTITUTE KALAIYARKOIL (Id: S-8446),2,,,,,,2,,,,,,2,
ST. MONICA JR. COLLEGE OF EDUCATION AHMADNAGAR (Id: S-10118),4,5,1,1,,,,,,,,,4,5
ST MOTHER TERESA'S SCHOOL OF NURSING TUMKUR (Id: S-4357),3,10,1,,,1,2,5,,,,,,
STNT NURSING INSTITUTE (Id: S-17496),5,12,,1,,,3,6,,,,,2,3
ST. PAUL INSTITUTE OF EDUCATION KOHIMA (Id: S-7363),3,4,,,1,2,,,,,,,3,4
"St Paul Nursing College, Bamni (Id: S-15132)",1,7,,3,,,,2,,,,,,3
"St. Peters D.Ed. College,Warangal (Id: S-16319)",5,2,1,,,,2,2,,,,,1,
ST PHILOMENAS SCHOOL OF NURSING (Id: S-19091),4,2,,1,,,4,,,,,,,1
ST PHILOMINA SCHOOL OF NURSING KOLAR (Id: S-4359),8,17,,1,1,,6,12,,,1,3,2,1
STREE ADHYAPAN MANDIR AHMEDABAD (Id: S-11190),1,5,,,,,,1,,,,,,
stree adhyapan mandir Anera (Id: S-5979),4,4,1,,1,,2,2,,,,1,,
"STREE ADHYAPAN MANDIR , RAJPIPLA (Id: S-6108)",3,2,,,1,1,1,1,,,,,,
S T S K K S POLYTECHNIC GADAG (Id: S-1412),23,14,,1,,,,2,,,,1,,
ST. SOLDIER INSTITUTE OF PHARMACY & POLYTECHNIC (Id: S-2518),17,19,9,6,,,,,,,,,6,11
ST. TERESAS JUNIOR COLLEGE OF EDUCATION SANTA CRUZ (W) MUMBAI (Id: S-10119),,5,,,,,,,,,,,,4
ST TERESA'S PRIMARY EDUCATION COLLEGE BETTIAH (Id: S-12819),,12,,,,2,,3,,,,1,,10
ST.TERESAS TEACHER TRAINING INSTITUTE KOTTAYAM (Id: S-7148),1,2,,,,,,,,,,,1,2
"ST. THERESA (G)TEACHER TRAINING INSTITUTE, THARANGAMBADI, NAGAPATINAM (Id: S-13900)",,2,,,,,,2,,,,,,2
ST THERESA OF CHILD JESUS SCHOOL OF NURSING CHENNAI- (Id: S-5355),,7,,,,,,,,,,,,5
ST THERESA SCHOOL OF NURSING BANGALORE (Id: S-4361),14,2,,,,,,,,,1,,4,1
ST THERESA'S SCHOOL OF NURSING HYDERABAD (Id: S-3660),,17,,1,,,,2,,,,,,10
ST. THERESAS TEACHER TRAINING INSTITUTE VIRAHANUR (Id: S-8451),,5,,,,,,5,,,,,,4
ST. THERESA TEACHER TRAINING INSTITUTE BANGALORE (Id: S-6867),1,3,,,,,1,3,,,,,,2
"ST THOMAS COLLEGE OF TEACHER EDUCATION TTI, PALA KOTTAYAM (Id: S-12126)",1,5,,,,,,1,,,,,1,4
ST THOMAS SCHOOL OF NURSING BALASORE (Id: S-4887),,10,,,,,,,,,,,,4
"ST THOMAS TTI PALA, KOTTAYAM (Id: S-12123)",3,2,,,,,,,,,,,3,2
"ST THOMAS TTI THIRUVALLA, PATHANAMTHITTA (Id: S-12115)",1,3,,,,,,,,,,,1,3
St.Ursula ANM training School (Id: S-15606),,9,,,,8,,,,,,,,9
ST.VINCENT COLONY TEACHER TRAINING INSTITUTE KOZHIKODE (Id: S-7152),,5,,,,,,1,,,,,,5
"ST.XAVIER'S D.ED COLLEGE, KOLHAPUR (Id: S-14606)",1,5,,1,,,,,,,,1,1,1
ST. XAVIER S D.EL.ED COLLEGE (Id: S-16240),3,5,1,,,,1,1,,,,,,
"ST XAVIERS POLYTECHNIC COLLEGE MULLIKKUNDU, DEVAKOTTAI (Id: S-12134)",22,13,1,,,,19,13,,,,,6,4
ST XAVIERS POLYTECHNIC COLLEGE SEYDUNGANALLUR (Id: S-3055),32,22,4,,,,25,21,,,1,,12,9
ST. XAVIERS TEACHER TRAINING INSTITUTE ALANGUDI (Id: S-8452),5,,2,,,,3,,,,,,2,
SUBASH SCHOOL OF NURSING BANGALORE (Id: S-4362),2,8,,2,,,2,6,,,,,,3
SUB-DIVISIONAL HOSPITAL DARJEELING (Id: S-5558),,8,,2,,3,,,,,,,,4
"Subham School of Nursing,Odisha (Id: S-15626)",,10,,2,,,,1,,,,,,
SUBHASH INSTITUTE OF TECHNOLOGY GIRIDIH (Id: S-16911),30,7,,1,1,,8,3,,,4,2,1,
SUBHWANTI INSTITUTE OF HEALTH EDUCATION (Id: S-18252),4,5,,,,1,,,,,,,3,2
SUBRAMANIAN POLYTECHNIC COLLEGE - (Id: S-3062),39,15,3,,,,33,12,,,2,,2,
SUDAM SHIKSHAN P MANDAL D. ED. COLLEGE KALAMB YAVATMAL (Id: S-10126),2,,,,,,2,,,,,,,
SUDARSAN POLYTECHNIC COLLEGE -SATHIYAMANGALAM (Id: S-3063),15,8,3,,,,12,8,,,2,,,1
SUDHANANDANA RESIDENTIAL POLYTECHNIC NECHHIPUR (Id: S-2377),22,17,1,1,,,,,,,,,,
SUDHARSHANA POLYTECHNIC COLLEGE KALIPATTI (Id: S-3064),39,17,5,6,,,34,11,,,,,1,
SUDHA SCHOOL OF NURSING EAST GODAVARI (Id: S-3661),1,14,,1,,,,,,,,,,
"SUGAN INSTITUTE OF TECHNOLOGY AND ENGINEERING FALAUDI, JODHPUR (Id: S-2688)",13,,2,,1,,5,,,,2,,,
Sugreev Singh Memorial Institute of Nursing AND  Hospital (Id: S-17230),4,13,,8,,,3,2,,,,,,
SUGUNA POLYTECHNIC COLLEGE -KALAPATTI (Id: S-3065),35,19,1,1,,,13,6,,,,,1,3
SUGUNA SCHOOL OF NURSING KOLAR (Id: S-4363),2,7,,,,,,,,,,,,1
SUJATA SCHOOL OF NURSING AMRAVATI (Id: S-16442),,5,,2,,,,3,,,,,,2
SUJATHA SCHOOL OF NURSING EAST GODAVARI (Id: S-3662),,23,,16,,,,3,,,,,,8
SUKANTA TEACHER TRAINING INSTITUTION (Id: S-18401),3,,1,,,,,,,,,,,
SUKHDEHI SMARAK INSTITUTE OF NURSING & PARAMEDICAL MURADABAD (Id: S-5499),8,13,,,,1,3,3,,,,1,,
"SUKHJINDER TECHNICAL CAMPUS, PATHANKOT, DHAR KALAN (Id: S-13833)",48,23,3,,,,2,,,,,,13,6
SUKRUTHA TEACHERS TRAINING INSTITUTE CHAMARAJANAGAR (Id: S-6871),4,1,4,1,,,,,,,,,,
SULEMAN SCHOOL OF NURSNG BIDAR (Id: S-4364),6,6,,,,,5,2,,,3,,2,2
SULTANPUR INSTITUTE OF NURSING AND PARAMEDICAL SCIENCES (Id: S-17225),6,12,1,1,,,2,2,,,1,,3,1
SUMANTAI INSTITUTE OF PHARMACY (Id: S-19014),3,1,,,,,3,1,,,,,,
"SUMERPUR POLYTECH COLLEGE, PALI (Id: S-2689)",15,,6,,4,,2,,,,,,,
SUMITRA INSTITUTE OF NURSING AND PARAMEDICAL SCIENCES (Id: S-17202),6,19,,,,,,,,,1,3,,3
SUM NURSING SCHOOL KHURDA (Id: S-4888),5,75,,,,,1,6,,,,,,4
SUNDARBAN PRIMARY TEACHERS TRAINING INSTITUTE (Id: S-16758),5,3,2,2,,,,,,,,,,
"Sundargarh GNM Training College,Sudargarh, Odisha (Id: S-15681)",1,14,,3,1,6,,4,,,,,,1
SUNDER SHIKSHAK PRASHIKSHAN VIDYALAYA JAIPUR (Id: S-7655),4,5,,,,,4,2,,,,,,
SUN INSTITUTE OF POLYTECHNIC ERACHAKULAM (Id: S-3066),0,0,0,,,,0,0,,,,,0,0
SUN INSTITUTE OF TECHNOLOGY ERACHAKULAM (Id: S-3067),12,9,,,,,11,4,,,,,1,1
SUNITA NURSING AND PARAMEDICAL COLLEGE (Id: S-17245),5,9,,1,,,,5,,,,,2,
SUNITA NURSING SCHOOL (Id: S-17042),,4,,,,,,2,,,,,,
SUN POLYTECHNIC COLLEGE ERACHAKULAM (Id: S-3068),23,25,2,,,,21,23,,,,,3,5
SUNRISE INSTITUTE OF PARAMEDICAL SCIENCES (Id: S-18731),5,,,,,,,,,,5,,,
"SUNRISE INSTITUTE OF PHRMACY, DEHRADUN (Id: S-3443)",2,6,,,,,,,,1,1,,,
SUNROSE SHIKSHAK PRASHIKSHAN MAHAVIDYALYA SAGWARA (Id: S-18201),12,4,2,,1,,3,,,,,,,
SUNSHINE INSTITUTE OF PARAMEDICAL SCIENCES (Id: S-18732),4,1,,,,,,,,,2,,2,1
SUPER ADVANCED COMPUTER INSTITUTE (Id: S-17664),7,,,,,,,,,,7,,,
SUPRAJA SCHOOL OF NURSING (Id: S-19219),1,1,,,,,,,,,,,,
SUPREME KNOWLEDGE FOUNDATION GROUP OF INSTITUTIONS (Id: S-17005),5,2,2,,,,,,,,,,,
"SUPRIYA SCHOOL OF NURSING, RAMARAOPET, EAST GODAVARI (Id: S-12956)",,14,,10,,,,2,,,,,,2
SURABHI INSTITUTE OF NURSING BIDAR (Id: S-4365),6,8,1,,,,,,,,4,,,5
SURABI SCHOOL OF NURSING DINDIGUL (Id: S-5359),,6,,,,,,,,,,,,1
SURAJBA STREE ADHYAPAN MANDIR ANAND (Id: S-6110),6,5,1,,2,1,,3,,,,,,
SURAJMAL AGARWAL COLLEGE OF POLYTECHNIC (Id: S-17090),27,5,,1,1,,4,,,,1,,,
SURENDERA NURSING TRAINING INSTITUTE (Id: S-18754),9,5,,1,,,9,4,,,,,2,4
Surender Kaur Memorial Teacher Training College (Id: S-19241),7,9,1,,,,2,4,,,,,3,3
SURESH DEEP POLYTECHNIC (Id: S-15246),19,4,,,,,8,,,,1,,,
SURI SADAR HOSPITAL BIRBHUM (Id: S-5559),,2,,,,,,,,,,,,
"SURUCHI INSTITUTE OF NURSING, LUCKNOW (Id: S-14168)",1,3,,,,,,,,,,,,
"Surya D.Ed., College,Karimnagar (Id: S-16510)",7,2,1,,1,,4,1,,,,,,
SURYA NURSING SCHOOL BANGALORE (Id: S-4367),3,9,,2,,2,1,1,,,2,,1,1
SURYA POLYTECHNIC COLLEGE KEEZHAKONDAI (Id: S-3069),37,9,6,1,,,31,8,,,1,1,,
SURYA POLYTECHNIC COLLEGE NEENDAKARAI B (Id: S-3070),40,23,1,1,3,,33,18,,,,,11,15
SURYA POLYTECHNIC FOR ENGINEERING & TECHNOLOGY (Id: S-3402),39,2,6,,,,19,1,,,6,,,
"SURYA SCHOOL OF NURSING, NIDADOVOLLU, WEST GODAVARI (Id: S-12993)",,7,,,,,,,,,,,,
"Surya School of  Nursing,Odisha (Id: S-15657)",1,9,,,,2,,3,,,,,,
"SUSEELA SCHOOL OF NURSING, BAPATLA, GUNTUR (Id: S-13043)",5,5,2,2,,1,2,1,,,,,1,
"Susheela College of Education, Khammam (Id: S-16321)",9,,2,,3,,2,,,,,,,
Susheela Institute of Paramedical Sciences (Id: S-16880),10,,2,,,,7,,,,,,,
SUSHILA NURSING SCHOOL DAUND (Id: S-16835),2,3,1,1,,,,1,,,,,,
SUSHILA SCHOOL OF NURSING (Id: S-13804),,10,,,,,,5,,,,,,
SUSHREE INSTITUTE OF TECHNICAL EDUCATION (Id: S-2379),37,11,3,,,,6,2,,,,,,
SUSHREE INSTITUTE OF TECHNICAL EDUCATION BALANGIR (Id: S-4889),5,12,,1,,,2,3,,,,1,,4
SUSHRUTA INSTITUTE OF PARA MEDICAL SCIENCE (Id: S-18803),9,5,,,,,3,1,,,,,2,1
"SUSHRUTI D.ED COLLEGE, BANGALORE (Id: S-12749)",5,1,2,,,,3,,,,,,,
SUSHRUT INSTITUTE OF PLASTIC SURGERY (P) LTD LUCKNOW (Id: S-5500),6,13,,,,,2,5,,,1,2,1,4
SUSILA DEVI BATAKRISHNA NURSING SCHOOL NUAPADA (Id: S-4890),4,14,,1,,,,,,,,2,2,4
